Date,RevenueAmount,Region
1/1/2024,15000,North
2/1/2024,16000,South
3/1/2024,17000,East
4/1/2024,18000,West
5/1/2024,19000,North
6/1/2024,20000,South
7/1/2024,21000,East
8/1/2024,22000,West
9/1/2024,23000,North
10/1/2024,24000,South
11/1/2024,25000,East
12/1/2024,26000,West
1/1/2025,27000,North
2/1/2025,28000,South
3/1/2025,29000,East
4/1/2025,30000,West
5/1/2025,31000,North
6/1/2025,32000,South
7/1/2025,33000,East
8/1/2025,34000,West
9/1/2025,35000,North
10/1/2025,36000,South
11/1/2025,37000,East
12/1/2025,38000,West
1/2/2024,14500,North
2/2/2024,15500,South
3/2/2024,16500,East
4/2/2024,17500,West
5/2/2024,18500,North
6/2/2024,19500,South
7/2/2024,20500,East
8/2/2024,21500,West
9/2/2024,22500,North
10/2/2024,23500,South
11/2/2024,24500,East
12/2/2024,25500,West
1/2/2025,26500,North
2/2/2025,27500,South
3/2/2025,28500,East
4/2/2025,29500,West
5/2/2025,30500,North
6/2/2025,31500,South
7/2/2025,32500,East
8/2/2025,33500,West
