Date,ExpenseCategory,ExpenseAmount
1/1/2024,Marketing,5000
1/1/2024,Operations,3000
2/1/2024,Marketing,5500
2/1/2024,Operations,3200
3/1/2024,Marketing,6000
3/1/2024,Operations,3500
4/1/2024,Marketing,6500
4/1/2024,Operations,3700
5/1/2024,Marketing,7000
5/1/2024,Operations,3800
6/1/2024,Marketing,7500
6/1/2024,Operations,4000
7/1/2024,Marketing,8000
7/1/2024,Operations,4200
8/1/2024,Marketing,8500
8/1/2024,Operations,4400
9/1/2024,Marketing,9000
9/1/2024,Operations,4600
10/1/2024,Marketing,9500
10/1/2024,Operations,4800
11/1/2024,Marketing,10000
11/1/2024,Operations,5000
12/1/2024,Marketing,10500
12/1/2024,Operations,5200
1/1/2025,Marketing,11000
1/1/2025,Operations,5400
2/1/2025,Marketing,11500
2/1/2025,Operations,5600
3/1/2025,Marketing,12000
3/1/2025,Operations,5800
4/1/2025,Marketing,12500
4/1/2025,Operations,6000
5/1/2025,Marketing,13000
5/1/2025,Operations,6200
6/1/2025,Marketing,13500
6/1/2025,Operations,6400
7/1/2025,Marketing,14000
7/1/2025,Operations,6600
8/1/2025,Marketing,14500
8/1/2025,Operations,6800
9/1/2025,Marketing,15000
9/1/2025,Operations,7000
10/1/2025,Marketing,15500
10/1/2025,Operations,7200
