Order ID,Order Date,Customer ID,Product Name,Category,Sales Amount,Quantity,Discount,Profit,Region,Customer Segment
ORD0001,2023-01-24,CUST196,Headphones,Electronics,485.44,2,0.22,-26.33,North,Consumer
ORD0002,2024-06-02,CUST614,Chair,Furniture,420.07,10,0.26,-33.23,West,Home Office
ORD0003,2023-05-27,CUST586,Shirt,Clothing,293.37,3,0.2,-29.46,North,Business
ORD0004,2023-05-30,CUST660,Headphones,Electronics,138.66,2,0.22,-14.42,West,Consumer
ORD0005,2024-07-15,CUST249,Table,Furniture,239.12,1,0.23,-8.43,West,Home Office
ORD0006,2023-10-28,CUST220,Smartphone,Electronics,224.92,9,0.2,11.94,East,Home Office
ORD0007,2024-01-26,CUST166,Printer,Office Supplies,151.07,9,0.13,-2.27,North,Home Office
ORD0008,2023-04-08,CUST270,Smartphone,Electronics,439.15,8,0.28,-94.45,West,Business
ORD0009,2024-09-19,CUST310,Laptop,Electronics,259.41,10,0.09,52.0,West,Home Office
ORD0010,2024-04-08,CUST552,Pen,Office Supplies,489.13,10,0.19,43.67,North,Consumer
ORD0011,2024-04-23,CUST360,Pen,Office Supplies,426.39,1,0.23,-5.29,West,Consumer
ORD0012,2023-05-27,CUST689,Smartphone,Electronics,197.75,5,0.28,2.06,West,Consumer
ORD0013,2024-04-19,CUST116,Shirt,Clothing,366.66,2,0.28,-81.88,West,Consumer
ORD0014,2023-05-30,CUST997,Printer,Office Supplies,328.41,4,0.2,-0.5,North,Business
ORD0015,2024-10-30,CUST843,Jeans,Clothing,421.57,2,0.17,44.29,North,Business
ORD0016,2023-09-04,CUST329,Jacket,Clothing,226.49,1,0.1,16.51,North,Consumer
ORD0017,2023-04-17,CUST491,Printer,Office Supplies,420.87,5,0.25,-0.95,East,Business
ORD0018,2023-06-18,CUST875,Jeans,Clothing,263.87,3,0.11,-4.47,South,Home Office
ORD0019,2023-03-26,CUST932,Notebook,Office Supplies,471.53,9,0.21,-48.51,South,Home Office
ORD0020,2023-08-12,CUST275,Smartphone,Electronics,261.21,7,0.07,39.57,East,Business
ORD0021,2023-02-15,CUST602,Smartphone,Electronics,201.33,6,0.27,-8.2,East,Consumer
ORD0022,2023-02-10,CUST261,Pen,Office Supplies,231.35,4,0.21,6.03,North,Business
ORD0023,2024-11-18,CUST314,Chair,Furniture,230.64,1,0.28,2.65,West,Home Office
ORD0024,2024-01-05,CUST811,Headphones,Electronics,367.21,8,0.05,20.54,North,Business
ORD0025,2024-02-13,CUST955,Bookshelf,Furniture,371.88,2,0.08,20.6,East,Business
ORD0026,2024-03-04,CUST379,Chair,Furniture,233.21,3,0.11,6.14,West,Home Office
ORD0027,2024-02-02,CUST818,Notebook,Office Supplies,322.49,7,0.07,52.71,West,Home Office
ORD0028,2024-04-03,CUST578,Jacket,Clothing,407.57,7,0.13,34.16,North,Home Office
ORD0029,2023-05-20,CUST831,Jeans,Clothing,301.33,9,0.01,44.7,North,Business
ORD0030,2023-11-13,CUST769,Jacket,Clothing,167.03,6,0.2,9.41,East,Consumer
ORD0031,2023-11-23,CUST364,Table,Furniture,201.91,1,0.13,8.05,East,Business
ORD0032,2024-09-02,CUST858,Printer,Office Supplies,241.89,5,0.07,28.6,East,Consumer
ORD0033,2023-12-24,CUST310,Shirt,Clothing,187.69,6,0.24,-24.18,North,Consumer
ORD0034,2023-06-16,CUST864,Jacket,Clothing,405.11,6,0.29,3.89,North,Consumer
ORD0035,2024-03-11,CUST311,Notebook,Office Supplies,271.94,1,0.12,5.91,South,Business
ORD0036,2023-03-25,CUST743,Pen,Office Supplies,55.56,7,0.28,-10.19,North,Home Office
ORD0037,2023-02-28,CUST810,Jeans,Clothing,214.79,6,0.23,-28.8,West,Consumer
ORD0038,2023-04-09,CUST264,Jacket,Clothing,114.7,2,0.12,-4.1,South,Home Office
